UNIQUE KEY,VEHICLE 1 TYPE,VEHICLE 2 TYPE,VEHICLE 3 TYPE,VEHICLE 4 TYPE,VEHICLE 5 TYPE
155980649490,45599,36972,2587,625,173
354261399441,104174,86799,6592,1612,461
281571102651,82801,69483,2525,501,129
302922936974,89140,76178,5918,1420,314
47557828564,13943,11600,924,165,32
