Total Benefits,Total Compensation,Percent_Total_Benefit
35398.450119047615,162831.63255952383,4.599965027053698
27886.590323361816,94075.71176923081,3.3735107332365217
33661.15225531915,122059.01167139482,3.6261091345174314
22721.521375,79834.02993750002,3.513586463683707
7166.984746564886,24424.69328124319,3.4079454812499597
18707.19928819445,62074.04558680555,3.318190212790357
30346.774370606574,113636.7500898526,3.7446072093882714
32598.79686015324,139648.70685842916,4.283860765092442
15905.132665555555,52375.86135777778,3.2930163148656972
14254.41,43219.5,3.032009041412447
38669.03829427625,187040.45198336485,4.836956392863031
37237.51775,133347.449,3.5809972591419577
30206.15696969697,101924.95416666666,3.374310550955505
24222.12511725066,78212.25968306378,3.2289594453197705
28648.365986791534,100833.91301512963,3.5197090494312864
25076.288771929827,85742.39963157896,3.419261933510601
34033.173710559124,131843.697547884,3.8739759820571242
31432.09186049383,122504.91876049379,3.897447211092781
30144.47472839506,114357.3222222222,3.7936412311905876
24068.19853244837,81334.19391887904,3.3793220464433826
25577.22690476191,122705.56892857142,4.797453976753296
27037.39,83926.07,3.1040743947548193
23309.28339583332,92637.7094435417,3.9742838881139204
22168.76972222222,65363.66462962963,2.948457016273139
28021.172986666672,94700.32905999999,3.37959903052814
10111.660891975309,34685.2414845679,3.430221983818145
32260.586181405582,161534.04747356992,5.007164053537106
32223.25,121815.55,3.780362005694646
29549.567117647057,117866.34829411765,3.9887673421695453
26174.420654761903,96624.48077380951,3.6915613930209625
26791.14333333333,93551.40999999999,3.4918782239354473
28576.101064655144,103759.24758706894,3.6309798650385305
28819.732,98635.98199999999,3.4225155875842286
37823.0650326087,151844.5751231884,4.014602597443583
12081.252502645502,34013.789743386245,2.8154191575698007
27021.74204666666,92451.02252,3.421356859981
5478.129666666667,17940.71920833333,3.2749716235267394
15629.20408888889,47641.78176666667,3.0482538647336592
13636.096666666666,48377.159999999996,3.547727856627593
23523.724721100458,78944.4459994952,3.355950085943793
28135.37064044943,104750.34897315851,3.723084025150957
28657.360756321457,93512.36841761971,3.2631186525783624
20620.494906862743,74043.23261764705,3.5907592398766623
36258.268409774435,148397.82052944865,4.092799436871173
