Symbol,Date,Open,High,Low,Close,Volume,Adj_Close
GD,2002-04-11,95.970001,96.099998,94.879997,95.50,2622600,35.108304
GD,2002-04-10,94.75,96.400002,94.75,96.07,2497000,35.317851
GD,2002-04-09,95.50,95.639999,94.50,95.010002,2500200,34.81788
GD,2002-04-08,94.300003,95.25,93.75,95.029999,1310400,34.825208
GD,2002-04-05,94.849998,95.50,94.400002,94.639999,1074800,34.682287
GD,2002-04-04,94.400002,95.440002,93.650002,94.349998,1377600,34.576012
GD,2002-04-03,94.00,95.389999,93.50,94.18,1819400,34.513713
GD,2002-04-02,97.00,97.00,94.800003,94.900002,2160800,34.777569
GD,2002-04-01,94.150002,96.800003,94.00,95.980003,2684200,35.173352
GD,2002-03-28,95.00,95.599998,93.949997,93.949997,2050000,34.429425
GD,2002-03-27,93.260002,96.800003,93.239998,95.239998,2770400,34.902166
GD,2002-03-26,91.690002,93.470001,91.690002,93.260002,1778000,34.176566
GD,2002-03-25,91.400002,92.400002,90.790001,91.68,2952200,33.59755
GD,2002-03-22,92.989998,93.629997,91.75,92.349998,2490000,33.843081
GD,2002-03-21,93.849998,94.32,93.099998,93.160004,2224200,34.13992
GD,2002-03-20,92.849998,95.099998,92.669998,94.00,3091200,34.447749
GD,2002-03-19,91.300003,93.449997,90.809998,93.110001,2960800,34.121595
GD,2002-03-18,92.699997,93.449997,90.75,91.050003,1599000,33.366678
GD,2002-03-15,90.879997,92.400002,90.669998,91.830002,2623000,33.65252
GD,2002-03-14,91.199997,92.449997,90.349998,90.870003,1986600,33.300714
GD,2002-03-13,90.489998,91.949997,90.400002,91.099998,2181800,33.384999
GD,2002-03-12,90.099998,91.099998,88.790001,90.50,2339400,33.16512
GD,2002-03-11,88.00,91.230003,87.400002,90.849998,5020600,33.293383
GD,2002-03-08,91.75,91.75,86.50,87.00,7654000,31.882491
GD,2002-03-07,94.00,94.00,89.339996,90.139999,3630800,33.033193
GD,2002-03-06,92.970001,95.50,92.330002,94.00,2061600,34.447749
GD,2002-03-05,93.50,93.910004,91.800003,92.720001,2121400,33.978674
GD,2002-03-04,91.25,95.25,91.25,94.760002,2569400,34.726264
GD,2002-03-01,91.449997,93.440002,91.099998,91.300003,2573400,33.458294
GD,2002-02-28,91.330002,92.50,90.879997,90.879997,2530800,33.304376
GD,2002-02-27,89.900002,92.099998,89.900002,91.580002,2614600,33.560904
