Symbol,Date,Open,High,Low,Close,Volume,Adj_Close
RTN,2002-04-11,39.799999,39.849998,39.150002,39.25,2419900,26.68042
RTN,2002-04-10,39.349998,39.700001,39.150002,39.669998,3657400,26.965916
RTN,2002-04-09,39.25,39.25,38.330002,38.700001,1405600,26.306555
RTN,2002-04-08,39.00,39.139999,38.57,39.00,1640600,26.510481
RTN,2002-04-05,39.00,39.200001,38.560001,38.889999,3237100,26.435708
RTN,2002-04-04,39.50,39.939999,37.950001,38.419998,4752900,26.116221
RTN,2002-04-03,41.830002,41.830002,40.130001,40.25,2504300,27.224225
RTN,2002-04-02,41.950001,42.889999,41.50,41.75,2824700,28.238792
RTN,2002-04-01,40.799999,42.299999,40.700001,41.75,1793500,28.238792
RTN,2002-03-28,41.950001,41.950001,40.549999,41.049999,1660000,27.765327
RTN,2002-03-27,39.720001,41.790001,39.709999,40.549999,4909200,27.427138
RTN,2002-03-26,39.290001,40.43,39.169998,39.57,1506000,26.764287
RTN,2002-03-25,40.50,40.50,39.200001,39.389999,4075700,26.642539
RTN,2002-03-22,40.900002,41.00,40.119999,40.200001,1843500,27.190406
RTN,2002-03-21,41.099998,41.549999,40.68,41.099998,1341900,27.799145
RTN,2002-03-20,40.599998,41.689999,40.50,41.290001,1589500,27.927659
RTN,2002-03-19,40.900002,41.970001,40.299999,41.50,2324400,28.069697
RTN,2002-03-18,41.50,41.939999,40.799999,41.029999,2052200,27.751799
RTN,2002-03-15,40.00,41.59,40.00,41.00,4219600,27.731508
RTN,2002-03-14,39.150002,40.75,39.150002,39.650002,4261500,26.818399
RTN,2002-03-13,39.00,39.150002,38.720001,38.900002,2241600,26.311115
RTN,2002-03-12,38.599998,39.099998,38.299999,38.740002,2101500,26.202895
RTN,2002-03-11,38.099998,39.00,38.099998,38.529999,2027500,26.060853
RTN,2002-03-08,39.049999,39.450001,37.50,38.200001,2796100,25.83765
RTN,2002-03-07,39.700001,39.990002,38.599998,38.889999,2956900,26.30435
RTN,2002-03-06,38.299999,39.919998,38.299999,39.549999,2419100,26.750759
RTN,2002-03-05,38.799999,38.860001,38.00,38.299999,2595000,25.905286
RTN,2002-03-04,39.400002,39.50,37.900002,38.68,3090400,26.162311
RTN,2002-03-01,39.00,40.00,38.849998,39.150002,2981200,26.48021
RTN,2002-02-28,39.099998,39.18,38.200001,38.689999,2815300,26.169074
RTN,2002-02-27,37.849998,39.150002,37.790001,39.150002,3465200,26.48021
RTN,2002-02-26,38.50,38.599998,37.25,37.650002,3469600,25.465642
RTN,2002-02-25,37.950001,38.27,37.900002,38.259998,2746600,25.878231
RTN,2002-02-22,38.099998,38.18,37.459999,37.860001,3428900,25.607681
RTN,2002-02-21,38.00,38.75,37.75,37.919998,2712500,25.648262
RTN,2002-02-20,38.130001,38.23,37.560001,38.00,1629400,25.702374
RTN,2002-02-19,38.580002,38.799999,37.869999,38.130001,2003300,25.790303
RTN,2002-02-15,37.799999,38.82,37.759998,38.580002,3231400,26.094674
RTN,2002-02-14,37.709999,37.869999,37.360001,37.869999,1392700,25.614444
RTN,2002-02-13,37.400002,37.59,37.099998,37.459999,1683900,25.337129
RTN,2002-02-12,38.00,38.009998,37.400002,37.400002,1943400,25.296548
RTN,2002-02-11,38.200001,38.259998,37.73,38.119999,3145200,25.783538
RTN,2002-02-08,37.599998,38.279999,37.400002,38.00,1628600,25.702374
RTN,2002-02-07,36.869999,37.830002,36.709999,37.48,2489500,25.350657
RTN,2002-02-06,37.380001,37.380001,36.169998,36.619999,2674600,24.768971
RTN,2002-02-05,37.400002,37.599998,37.00,37.380001,2450300,25.28302
RTN,2002-02-04,38.700001,38.900002,37.25,37.48,3528900,25.350657
RTN,2002-02-01,38.599998,39.25,37.599998,38.650002,4753400,26.14202
RTN,2002-01-31,37.18,38.27,36.799999,38.27,4475300,25.884996
RTN,2002-01-30,35.630001,37.200001,35.049999,37.16,5288500,25.134216
RTN,2002-01-29,35.950001,36.470001,34.860001,35.380001,2802100,23.930263
RTN,2002-01-28,35.25,35.599998,34.82,35.169998,3022900,23.788222
RTN,2002-01-25,34.00,35.279999,33.900002,35.27,4807700,23.855861
RTN,2002-01-24,32.299999,34.349998,32.200001,34.240002,4134800,23.159192
RTN,2002-01-23,32.580002,32.630001,32.00,32.099998,2452600,21.711741
RTN,2002-01-22,32.900002,33.200001,31.58,32.18,2172200,21.765852
RTN,2002-01-18,32.380001,33.470001,32.25,32.869999,2389600,22.232552
RTN,2002-01-17,32.700001,32.830002,32.27,32.389999,2243900,21.907891
RTN,2002-01-16,32.099998,32.75,32.049999,32.57,2923600,22.029639
RTN,2002-01-15,31.68,32.00,31.60,31.870001,1992500,21.556175
RTN,2002-01-14,31.85,32.139999,31.059999,31.68,2497700,21.427663
RTN,2002-01-11,32.419998,32.419998,31.52,32.02,2043100,21.657632
RTN,2002-01-10,32.099998,32.59,32.07,32.419998,1236500,21.928182
RTN,2002-01-09,32.099998,32.93,32.07,32.200001,2256800,21.77938
RTN,2002-01-08,31.50,32.23,31.360001,32.07,1612400,21.69145
RTN,2002-01-07,31.299999,31.68,31.23,31.48,1431500,21.292387
RTN,2002-01-04,31.82,31.82,31.00,31.299999,1603300,21.170639
RTN,2002-01-03,31.00,32.00,31.00,31.82,1770800,21.522356
