Word,Frequency,Rank
necessary,29,473
small,29,474
son,29,475
taken,29,476
usual,29,477
walked,29,478
appearance,28,479
change,28,480
countenance,28,481
doing,28,482
easily,28,483
five,28,484
greatest,28,485
knowledge,28,486
likely,28,487
moments,28,488
opportunity,28,489
remained,28,490
repeated,28,491
resolved,28,492
robert,28,493
steeles,28,494
strong,28,495
words,28,496
affair,27,497
concern,27,498
considered,27,499
expect,27,500
favour,27,501
future,27,502
got,27,503
hearing,27,504
let,27,505
misery,27,506
occasion,27,507
past,27,508
question,27,509
round,27,510
sometimes,27,511
suffered,27,512
taste,27,513
truth,27,514
turned,27,515
acquainted,26,516
allow,26,517
assured,26,518
best,26,519
declared,26,520
exactly,26,521
exceedingly,26,522
expectation,26,523
fear,26,524
gentleman,26,525
handsome,26,526
large,26,527
lucys,26,528
notice,26,529
produced,26,530
resolution,26,531
state,26,532
surprised,26,533
talking,26,534
understand,26,535
advantage,25,536
anything,25,537
bed,25,538
delaford,25,539
event,25,540
feeling,25,541
fine,25,542
latter,25,543
likewise,25,544
otherwise,25,545
pain,25,546
satisfied,25,547
use,25,548
agreeable,24,549
answered,24,550
appear,24,551
brandons,24,552
cleveland,24,553
curiosity,24,554
delight,24,555
desire,24,556
dinner,24,557
distress,24,558
face,24,559
father,24,560
favourite,24,561
forced,24,562
joy,24,563
late,24,564
low,24,565
meeting,24,566
met,24,567
money,24,568
proper,24,569
scarcely,24,570
seems,24,571
supposed,24,572
taking,24,573
ten,24,574
thoughts,24,575
afraid,23,576
devonshire,23,577
earnest,23,578
effect,23,579
formed,23,580
idea,23,581
ill,23,582
immediate,23,583
income,23,584
knowing,23,585
nature,23,586
painful,23,587
reached,23,588
serious,23,589
smile,23,590
society,23,591
table,23,592
tears,23,593
unfortunate,23,594
weeks,23,595
worth,23,596
affectionate,22,597
asked,22,598
bear,22,599
danger,22,600
disappointment,22,601
easy,22,602
fixed,22,603
journey,22,604
making,22,605
meet,22,606
merely,22,607
plan,22,608
prevent,22,609
probably,22,610
promise,22,611
read,22,612
regret,22,613
respect,22,614
share,22,615
address,21,616
avoid,21,617
beauty,21,618
cold,21,619
consider,21,620
constant,21,621
conviction,21,622
disposition,21,623
